"Supplementary Table 2: Bioinformatics Tools, Versions, and Parameters Used in This Study",,,
Tool / Software,Version,Purpose,Key Parameters / Notes
Dorado ,1.1.1,Superaccuracy base calling,sup@v5.2.0
samtools,1.21,Convert bam files to fastq format,Default
NanoFilt,2.8.0,Read filtering, -q 9
Filtlong,0.3.1,Read filtering,-l 500
SeqKit,2.8.2,FASTA/Q manipulation & QC, -a -b -T
wf-bacterial-genomes,1.4.2-gc8efc31,Reference-based genome assembly,reference-based=True --override_basecaller_cfg 'dna_r10.4.1_e8.2_400bps_sup@v5.0.0'
Autocycler,0.5.2,Assembly of the reads,Default
NextPolish,,,
Merqury,,,
QUAST,5.2.0,Assembly quality assessment,Default
BUSCO,5.8.2,Genome completeness, -l pasteurellales_odb12 --metaeuk
blastn,2.16.0+,Sequence alignment search,-db nt
PubMLST,,,
GTDB-Tk (via KBase),,,
minimap2,2.28-r1209,Genome Alignment, -t 30 -y -ax map-ont
Kraken2,2.1.3,Taxonomic Classification,--db standard
IGV,,,
realphy,1.12,Multiple sequence alignment,Reference genomes: TN_CUL_2021 + 3 Spirabiliibacterium genera
IQ-TREE,2.3.6,Phylogenetic tree construction,-m GTR+G -bb 1000 -nt AUTO
Custom Python Script,3.12.7,Figures ,
fastANI,1.33,Average nucleotide identity,Default
GGDC - dDDH,,,
snp-dists,0.8.2,Pairwise SNP distance,Default
Roary,3.13.0,Pan-genome analysis, -e --mafft
Scoary2,0.0.15,Pan-genome analysis,"--gene-data-type 'gene-list:,'"
ABRicate,1.0.1,Virulence & AMR gene detection,"Identity ?70%, Coverage ?80%; VFDB/ResFinder"
CARD - rgi,,,
prokka,1.14.6,Genome annotation, --kingdom Bacteria  --genus Spirabiliibacterium
BV-BRC,3.57.26,SNP Annotation,Variation Analysis
modkit,0.6.0,Methylation Analysis,"modkit pileup --filter-threshold 0.75
modkit dmr pair -a -a -b -b "
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
